i:      0 err:   153.3714
i:    100 err:   146.6261
i:    200 err:   146.5867
i:    300 err:   145.5950
i:    400 err:   145.2245
i:    500 err:   144.9174
i:    600 err:   145.5649
i:    700 err:   146.2022
i:    800 err:   150.2784
i:    900 err:   123.1612
i:   1000 err:    83.1377
i:   1100 err:    57.1648
i:   1200 err:    37.8865
i:   1300 err:    23.1319
i:   1400 err:    19.1649
i:   1500 err:     8.0499
i:   1600 err:     4.7137
i:   1700 err:     4.7405
i:   1800 err:     4.7937
i:   1900 err:     3.9230
i:   2000 err:     3.6848
i:   2100 err:     2.8526
i:   2200 err:     1.8466
i:   2300 err:     1.9149
i:   2400 err:     2.8843
i:   2500 err:     2.0258
i:   2600 err:     2.1799
i:   2700 err:     2.2201
i:   2800 err:     2.7222
i:   2900 err:     1.5904
i:   3000 err:     1.5260
i:   3100 err:     1.0670
i:   3200 err:     0.9392
i:   3300 err:     1.9669
i:   3400 err:     0.5485
i:   3500 err:     0.8966
i:   3600 err:     0.7417
i:   3700 err:     0.8162
i:   3800 err:     0.3256
i:   3900 err:     1.7385
i:   4000 err:     0.4701
i:   4100 err:     0.9100
i:   4200 err:     0.6247
i:   4300 err:     0.4620
i:   4400 err:     0.3221
i:   4500 err:     0.9607
i:   4600 err:     0.4697
i:   4700 err:     0.4155
i:   4800 err:     0.5705
i:   4900 err:     0.3181
i:   5000 err:     0.5477
i:   5100 err:     0.1770
i:   5200 err:     0.2159
i:   5300 err:     0.1591
i:   5400 err:     0.1617
i:   5500 err:     0.2443
i:   5600 err:     0.3173
i:   5700 err:     0.3309
i:   5800 err:     0.2237
i:   5900 err:     0.2792
i:   6000 err:     0.1968
i:   6100 err:     0.2454
i:   6200 err:     0.3222
i:   6300 err:     0.1361
i:   6400 err:     0.1459
i:   6500 err:     0.2393
i:   6600 err:     0.1204
i:   6700 err:     0.2432
i:   6800 err:     0.1808
i:   6900 err:     0.1653
i:   7000 err:     0.1170
i:   7100 err:     0.2264
i:   7200 err:     0.2268
i:   7300 err:     0.1648
i:   7400 err:     0.3299
i:   7500 err:     0.0807
i:   7600 err:     0.1424
i:   7700 err:     0.3239
i:   7800 err:     0.0814
i:   7900 err:     0.1660
i:   8000 err:     0.0678
i:   8100 err:     0.1320
i:   8200 err:     0.0905
i:   8300 err:     0.2365
i:   8400 err:     0.1211
i:   8500 err:     0.2326
i:   8600 err:     0.3754
i:   8700 err:     0.0685
i:   8800 err:     0.2020
i:   8900 err:     0.0969
i:   9000 err:     0.1354
i:   9100 err:     0.1309
i:   9200 err:     0.2598
i:   9300 err:     0.2466
i:   9400 err:     0.1039
i:   9500 err:     0.1425
i:   9600 err:     0.1471
i:   9700 err:     0.0554
i:   9800 err:     0.0599
i:   9900 err:     0.0985
i:  10000 err:     0.0740
